GUID,ISIN,TRA_TYPE,EXECUTION_PRICE,ORDER_TIMESTAMP,EXECUTION_TIMESTAMP,STOCK_EXCHANGE,INSTR_CCY,SET_CURRENCY,TRADE_CCY,INSTR_CLASS,INSTR_SUB_CLASS,INSTR_DESC,Source,Symbol
9B481CB4,NL0009767532,SELL,38.6799,2021-09-20 08:58:18.000,2021-09-20 10:51:24.000,XAMS,EUR,EUR,,EQTY,ORD,Accell Group,787,E:ACCEL
880BAA23,US98980L1017,SELL,293.3323,2021-09-13 15:30:34.000,2021-09-13 21:00:48.000,XNGS,USD,USD,,SWAP,CFD_OLD,Zoom Video Communications -CFD,564,ZM
8E75384A,FR0000121014,SELL,673.7749,2021-09-10 10:05:18.000,2021-09-10 10:27:39.000,XPAR,EUR,EUR,,SWAP,CFD_OLD,LVMH Moet Hennessy Louis Vuitton -CFD,787,E:MC
15270C3D,NL0009767532,SELL,41.1813,2021-09-09 08:17:25.000,2021-09-16 15:30:06.000,XAMS,EUR,EUR,,EQTY,ORD,Accell Group,787,E:ACCEL
43E5D567,US2253101016,SELL,642.5715,2021-09-08 16:09:09.000,2021-09-08 17:51:17.000,XNGS,USD,USD,,SWAP,CFD_OLD,Credit Acceptance -CFD,564,CACC
E18A3E84,NL0009767532,SELL,41.1,2021-09-08 15:22:51.000,2021-09-08 16:22:14.000,XAMS,EUR,EUR,,EQTY,ORD,Accell Group,787,E:ACCEL
CF563CE4,US98980L1017,SELL,296.3569,2021-09-08 15:04:55.000,2021-09-08 21:08:52.000,XNGS,USD,USD,,SWAP,CFD_OLD,Zoom Video Communications -CFD,564,ZM
08DE1DEE,NL0009767532,SELL,41.275,2021-09-08 14:59:37.000,2021-09-08 16:22:14.000,XAMS,EUR,EUR,,EQTY,ORD,Accell Group,787,E:ACCEL
F27FEE14,NL0009767532,SELL,41.275,2021-09-08 14:59:10.000,2021-09-08 16:22:14.000,XAMS,EUR,EUR,,EQTY,ORD,Accell Group,787,E:ACCEL
6FFD025B,FR0000120107,BUY,72.9,2021-09-07 11:05:54.000,2021-09-07 11:42:27.000,XPAR,EUR,EUR,,EQTY,ORD,Savencia,787,E:SAVE
11A1A484,US92552V1008,SELL,50.5331,2021-09-03 15:05:42.000,2021-09-03 20:59:49.000,XNGS,USD,USD,,EQTY,ORD,ViaSat,564,VSAT
A75B687B,US98980L1017,BUY,298.4135,2021-09-03 11:53:49.000,2021-09-03 20:59:56.000,XNGS,USD,USD,,SWAP,CFD_OLD,Zoom Video Communications -CFD,564,ZM
F4EDD168,US2253101016,BUY,664.8778,2021-09-03 11:53:49.000,2021-09-03 20:59:57.000,XNGS,USD,USD,,SWAP,CFD_OLD,Credit Acceptance -CFD,564,CACC
CC7BD813,US4523271090,BUY,467.8814,2021-09-03 11:53:49.000,2021-09-03 20:59:54.000,XNGS,USD,USD,,SWAP,CFD_OLD,Illumina -CFD,564,ILMN
A3FC2093,US97717P1049,BUY,6.228,2021-09-03 11:53:49.000,2021-09-03 20:59:58.000,XNGS,USD,USD,,SWAP,CFD_OLD,WisdomTree Investments -CFD,564,WETF
09D91107,US64110L1061,BUY,588.5386,2021-09-03 11:53:49.000,2021-09-03 20:59:56.000,XNGS,USD,USD,,SWAP,CFD_OLD,Netflix -CFD,564,NFLX
5465AC5B,US88160R1014,BUY,728.9962,2021-09-03 11:53:49.000,2021-09-03 20:59:56.000,XNGS,USD,USD,,SWAP,CFD_OLD,Tesla -CFD,564,TSLA
