time,open,high,low,close,Volume,Volume MA
1446820200,2098.6,2101.91,2083.74,2099.2,4369020000,3858259500
1447079400,2096.56,2096.56,2068.24,2078.58,3882350000,3907714500
1447165800,2077.19,2083.67,2069.91,2081.72,3821440000,3928690500
1447252200,2083.41,2086.94,2074.85,2075,3692410000,3931081500
1447338600,2072.29,2072.29,2045.66,2045.97,4016370000,3944585500
1447425000,2044.64,2044.64,2022.02,2023.04,4278750000,3978751500
1447684200,2022.08,2053.22,2019.39,2053.19,3741240000,4001447500
1447770600,2053.67,2066.69,2045.9,2050.44,4427350000,4056240000
1447857000,2051.99,2085.31,2051.99,2083.58,3926390000,4071170000
1447943400,2083.7,2086.74,2078.76,2081.24,3628110000,4031033000
1448029800,2082.82,2097.06,2082.82,2089.17,3929600000,4022090000
1448289000,2089.41,2095.61,2081.39,2086.59,3587980000,4032199000
1448375400,2084.42,2094.12,2070.29,2089.14,3884930000,4015601500
1448461800,2089.3,2093,2086.3,2088.87,2852940000,3923343000
1448634600,2088.82,2093.29,2084.13,2090.11,1466840000,3796238000
1448893800,2090.95,2093.81,2080.41,2080.41,4275030000,3797179500
1448980200,2082.93,2103.37,2082.93,2102.63,3712120000,3794784500
1449066600,2101.71,2104.27,2077.11,2079.51,3950640000,3778713500
1449153000,2080.71,2085,2042.35,2049.62,4306490000,3790094500
1449239400,2051.24,2093.84,2051.24,2091.69,4214910000,3798245500
1449498600,2090.42,2090.42,2066.78,2077.07,4043820000,3781985500
1449585000,2073.39,2073.85,2052.32,2063.59,4173570000,3796546500
1449671400,2061.17,2080.33,2036.53,2047.62,4385250000,3824737000
1449757800,2047.93,2067.65,2045.67,2052.23,3715150000,3825874000
1449844200,2047.27,2047.27,2008.8,2012.37,4301060000,3840108500
1450103400,2013.37,2022.92,1993.26,2021.94,4612440000,3856793000
1450189800,2025.55,2053.87,2025.55,2043.41,4353540000,3887408000
1450276200,2046.5,2076.72,2042.43,2073.07,4635450000,3897813000
1450362600,2073.76,2076.37,2041.66,2041.89,4327390000,3917863000
1450449000,2040.81,2040.81,2005.33,2005.55,6683070000,4070611000
1450708200,2010.27,2022.9,2005.93,2021.15,3760280000,4062145000
1450794600,2023.15,2042.74,2020.49,2038.97,3520860000,4058789000
1450881000,2042.2,2064.73,2042.2,2064.29,3484090000,4038747000
1450967400,2063.52,2067.36,2058.73,2060.99,1411860000,3966693000
1451313000,2057.77,2057.77,2044.2,2056.5,2492510000,4017976500
1451399400,2060.54,2081.56,2060.54,2078.36,2542000000,3931325000
1451485800,2077.34,2077.34,2061.97,2063.36,2367430000,3864090500
1451572200,2060.59,2062.54,2043.62,2043.94,2655330000,3799325000
